index,element,x,y,z,coordination_number,is_interfacial
714,O,6.217800,9.639832,28.886349,3,0
715,O,7.523596,16.146405,28.893802,3,0
716,O,4.925831,3.134337,28.891675,3,0
717,O,22.312374,15.296843,27.863304,3,0
718,O,19.692084,2.277656,27.840737,3,0
719,O,20.948084,8.791194,27.852917,3,0
720,O,15.309773,13.155276,27.848858,3,0
721,O,12.773685,0.133541,27.792947,3,0
722,O,14.063857,6.632807,27.842795,3,0
723,O,8.369602,11.003906,27.862112,3,0
724,O,9.675582,17.508290,27.849520,3,0
725,O,7.121456,4.486863,27.888092,3,0
726,O,22.386583,14.641626,30.329448,3,0
727,O,19.785431,1.626873,30.324696,3,0
728,O,21.087254,8.134377,30.325096,3,0
729,O,15.444619,12.488235,30.311286,3,0
730,O,16.747262,18.992305,30.276850,3,0
731,O,14.144660,5.974402,30.312693,3,0
732,O,8.511784,10.337282,30.332299,3,0
733,O,9.818016,16.845555,30.322099,3,0
734,O,7.209021,3.826872,30.337436,3,0
735,O,22.077585,18.152747,28.222128,4,0
736,O,19.474869,5.140209,28.201548,4,0
737,O,20.765350,11.649812,28.214364,4,0
738,O,15.132381,16.013324,28.179509,4,0
739,O,12.528163,2.994572,28.189531,4,0
740,O,13.823940,9.500638,28.211355,4,0
741,O,8.191150,13.850792,28.219790,4,0
742,O,5.590622,0.833738,28.209343,4,0
743,O,6.891740,7.348239,28.242218,4,0
744,O,3.096038,11.788042,29.953271,4,0
745,O,4.398496,18.294149,29.968552,4,0
746,O,1.794196,5.277819,29.960180,4,0
747,O,15.676804,9.621387,29.945803,4,0
748,O,16.981041,16.140263,29.934633,4,0
749,O,14.382615,3.117429,29.933102,4,0
750,O,8.744837,7.475250,29.965199,4,0
751,O,10.048516,13.987580,29.948074,4,0
752,O,7.441572,0.959704,29.950629,4,0
753,O,4.662002,13.224605,28.411283,4,0
754,O,2.050279,0.216805,28.438892,4,0
755,O,3.340728,6.746662,28.432513,4,0
756,O,17.217244,11.055941,28.399761,4,0
757,O,18.543559,17.573756,28.378048,4,0
758,O,15.946084,4.546265,28.377244,4,0
759,O,10.293310,8.918505,28.421226,4,0
760,O,11.614327,15.433170,28.385849,4,0
761,O,9.003942,2.408589,28.416988,4,0
762,O,20.501886,16.719971,29.736398,4,0
763,O,17.899735,3.703469,29.728260,4,0
764,O,19.194060,10.214501,29.735028,4,0
765,O,13.563264,14.575305,29.731779,4,0
766,O,10.967381,1.554087,29.725726,4,0
767,O,12.263188,8.061500,29.739499,4,0
768,O,6.621788,12.402383,29.747488,4,0
769,O,7.929149,18.915145,29.750349,4,0
770,O,5.321308,5.900063,29.751540,4,0
771,O,6.725741,12.425697,26.093600,3,0
772,O,8.023292,18.933719,26.148044,3,0
773,O,5.420795,5.897804,26.209105,3,0
774,O,19.301363,10.219715,26.096537,3,0
775,O,20.616639,16.703056,26.144585,3,0
776,O,18.017858,3.717343,26.140593,3,0
777,O,12.390200,8.064606,26.155888,3,0
778,O,13.655475,14.624378,26.085946,3,0
779,O,11.093195,1.560836,26.148043,3,0
780,O,2.276176,10.351600,25.823029,3,0
781,O,3.588248,16.853765,25.764682,3,0
782,O,0.962009,3.838509,25.754753,3,0
783,O,14.859485,8.218198,25.755616,3,0
784,O,16.140469,14.726399,25.757911,3,0
785,O,13.576410,1.752354,25.692353,3,0
786,O,7.916668,6.068374,25.819472,3,0
787,O,9.229942,12.563559,25.816804,3,0
788,O,10.517307,19.084834,25.755545,3,0
789,O,4.312710,11.783300,24.629911,3,0
790,O,5.693759,18.280951,24.730997,3,0
791,O,3.024920,5.257800,24.754728,3,0
792,O,16.966526,9.567897,24.663238,3,0
793,O,18.260862,16.066890,24.653719,3,0
794,O,15.774747,2.987384,24.673863,3,0
795,O,10.042037,7.481520,24.649544,3,0
796,O,11.277950,13.969671,24.653787,3,0
797,O,8.738725,0.983547,24.643728,3,0
798,O,4.593122,11.068406,27.141810,3,0
799,O,5.889581,17.581229,27.193481,3,0
800,O,3.274205,4.571763,27.200887,3,0
801,O,17.162375,8.869140,27.150723,3,0
802,O,18.418154,15.415384,27.168722,3,0
803,O,15.857285,2.344082,27.138237,3,0
804,O,10.225575,6.764091,27.161310,3,0
805,O,11.544263,13.274097,27.144399,3,0
806,O,8.929314,0.266535,27.144672,3,0
807,O,4.265172,14.556314,25.043604,4,0
808,O,1.603344,1.554403,25.085052,4,0
809,O,2.907424,8.063559,25.036498,4,0
810,O,16.785677,12.424328,25.101598,4,0
811,O,18.162844,18.925775,25.042589,3,0
812,O,15.547049,5.885419,25.077703,4,0
813,O,9.912346,10.290926,25.030945,4,0
814,O,11.151877,16.783262,25.035821,4,0
815,O,8.617005,3.778519,25.038745,4,0
816,O,4.749122,8.221331,26.820141,4,0
817,O,6.067731,14.712177,26.826791,4,0
818,O,3.452645,1.698059,26.843621,4,0
819,O,17.387715,6.035443,26.792713,4,0
820,O,18.638295,12.512259,26.803919,4,0
821,O,19.990535,19.038203,26.799955,4,0
822,O,10.402184,3.899696,26.808989,4,0
823,O,11.706655,10.402865,26.805584,4,0
824,O,13.018838,16.927357,26.750916,4,0
825,O,6.333551,9.682271,25.294989,4,0
826,O,7.662625,16.156417,25.299534,4,0
827,O,5.040751,3.136998,25.339200,4,0
828,O,18.928348,7.469388,25.231878,4,0
829,O,20.217031,13.938948,25.327926,4,0
830,O,17.612864,0.902050,25.195809,4,0
831,O,11.976444,5.331005,25.320675,4,0
832,O,13.268248,11.827426,25.274969,4,0
833,O,14.612386,18.419596,25.235534,4,0
834,O,2.682151,13.129681,26.613474,4,0
835,O,0.040895,0.119014,26.610848,4,0
836,O,1.349440,6.632202,26.607578,4,0
837,O,15.225947,10.984856,26.604675,4,0
838,O,16.555021,17.497980,26.551667,4,0
839,O,13.966278,4.453363,26.591609,4,0
840,O,8.329145,8.845703,26.614917,4,0
841,O,9.629550,15.338300,26.618084,4,0
